emp_no,first_name,last_name,title
11853,Zeljko,Kusakabe,Senior Staff
11857,Divier,Farrag,Senior Staff
11864,Pradeep,Kriebel,Staff
11871,Nalini,Sommen,Engineer
11872,Cheong,Riexinger,Senior Staff
11894,Mitchel,Validov,Senior Engineer
11897,Cordelia,Setlzner,Senior Staff
11906,Hideo,Boguraev,Engineer
11915,Miomir,Mawatari,Engineer
11931,Gunilla,Chiodo,Senior Staff
11933,Basil,Erman,Engineer
11949,Martijn,Harbusch,Technique Leader
11983,Jaana,Hedayat,Engineer
11993,Marit,Dalphin,Senior Staff
12011,Zhilian,Coorg,Senior Staff
12036,Mads,Ratzlaff,Senior Staff
12037,Arunas,Katzenelson,Senior Staff
12050,Yuchang,Tchuente,Assistant Engineer
12062,Margareta,Worfolk,Senior Staff
12069,Ayonca,Burnard,Assistant Engineer
12070,Ger,Shokrollahi,Technique Leader
12076,Karlis,Siprelle,Senior Staff
12082,Xinan,Yamaashi,Senior Staff
12089,Bilhanan,Socorro,Senior Staff
12099,Nobuyoshi,Kuzuoka,Senior Staff
12112,Satyanarayana,Avouris,Senior Staff
12122,Satoru,Krone,Engineer
12123,Xiahua,Syrzycki,Senior Staff
12125,Shounak,Erman,Engineer
12149,Suebskul,Grandbois,Senior Staff
12159,Shem,Perly,Senior Engineer
12165,Xiaobin,Maquelin,Senior Engineer
12183,Harngdar,Iisaku,Engineer
12192,Feiyu,Klyachko,Engineer
12205,Sushant,Rossi,Senior Engineer
12206,Barton,Janetzko,Assistant Engineer
12218,Yaghout,Strooper,Engineer
12221,Vincent,Melter,Engineer
12222,Abdelwaheb,Holburn,Senior Staff
12223,Niteen,Koyama,Engineer
12247,Subbu,Penttonen,Technique Leader
12249,Eldridge,Sadowski,Engineer
12256,Guadalupe,Reghbati,Senior Staff
12264,Mart,Pagter,Engineer
12270,Shakhar,Kornyak,Senior Staff
12272,Behnaam,Grandbois,Senior Staff
12308,Mototsugu,Cronau,Senior Staff
12311,Susanne,Lubachevsky,Senior Engineer
12327,DAIDA,Bruckman,Engineer
12341,Rasiah,Luga,Engineer
12343,Sorina,Slaats,Senior Staff
12365,Kamakshi,Bisiani,Engineer
12373,Mooi,Driscoll,Senior Staff
12395,Sanjit,Felder,Senior Staff
12399,Mihalis,Luga,Senior Staff
12411,Shao,Ibel,Senior Staff
12413,Hugh,Gadepally,Engineer
12417,Dannz,Spelt,Senior Engineer
12422,Berhard,Demos,Senior Staff
12454,Kerryn,Farris,Staff
12464,Shai,Milicic,Staff
12475,Filipe,Roison,Engineer
12487,Mona,Reghbati,Senior Staff
12489,Arnould,Munck,Senior Engineer
12490,Jackson,Muchinsky,Engineer
12497,Stein,Penz,Senior Staff
12501,Morrie,Matheson,Senior Staff
12504,Adly,Rosaz,Engineer
12514,Tomofumi,Melter,Engineer
12528,Conor,Cincotta,Senior Staff
12534,Yongmao,Gerlach,Senior Engineer
12541,Shih,Nanard,Senior Staff
12542,Kazuhide,Bouloucos,Senior Staff
12551,Jeane,Tzvieli,Engineer
12553,Aral,Vesna,Senior Staff
12557,Stafford,Kopetz,Senior Engineer
12589,Anoosh,Chleq,Engineer
12596,Breannda,Roisin,Senior Staff
12601,Ghassan,Simkin,Assistant Engineer
12608,Nectarios,Mondadori,Senior Staff
12635,Xinyu,Restivo,Engineer
12638,Yuqun,Seiwald,Engineer
12642,Suebskul,Gips,Senior Staff
12651,Pragnesh,Bael,Senior Staff
12662,Leucio,Alvarado,Assistant Engineer
12663,Nobuyoshi,Stellhorn,Technique Leader
12664,Zhonghua,Parveen,Staff
12689,Luerbio,Boudaillier,Engineer
12691,Oddvar,Gils,Engineer
12697,Uri,Brizzi,Senior Staff
12709,Ronghao,Botman,Engineer
12717,Tzu,Jiafu,Staff
12722,Elliott,Cheshire,Senior Staff
12726,Fumitake,Panwar,Senior Engineer
12729,Nahla,Rahier,Engineer
12731,Yongmao,Waymire,Senior Staff
12732,Mara,Takanami,Senior Staff
12734,Gil,Frijda,Senior Engineer
12755,Rildo,Rodite,Senior Staff
12773,Jenwei,Lovengreen,Engineer
12790,Gunilla,Perl,Senior Staff
12795,Masoud,Fordan,Senior Staff
12798,Lillian,Beeson,Senior Staff
12803,Gad,Boissier,Senior Staff
12815,Sushant,Junot,Senior Staff
12819,Mountaz,Gubsky,Engineer
12848,Kazuhide,Smeets,Engineer
12863,Leif,Matheson,Engineer
12872,Marl,Schmittgen,Senior Staff
12879,Baruch,Eugenio,Engineer
12890,Neven,Casley,Senior Staff
12893,Licheng,Crouzet,Senior Staff
12895,Roddy,Serot,Senior Engineer
12905,Munehiro,Gecsei,Engineer
12926,Heekeun,Luby,Senior Staff
12940,Odinaldo,Farrar,Engineer
12941,Tommaso,Perelgut,Engineer
12949,Geoff,Asrin,Engineer
12977,Byong,Markovitch,Engineer
12983,Elliott,Hambrick,Staff
13030,Yahiko,Kroll,Senior Staff
13046,Vivian,Stafford,Senior Staff
13047,Atilio,Chelton,Engineer
13075,Rosella,Morrin,Senior Staff
13076,Deniz,Skafidas,Engineer
13096,Ibibia,Armand,Engineer
13103,Srinidhi,Ellozy,Senior Engineer
13124,Quingbo,Garnick,Senior Staff
13133,Guther,Senzako,Senior Staff
13134,Lorien,Chepyzhov,Engineer
13144,Persi,Nollmann,Senior Staff
13146,Haldon,Erie,Senior Staff
13147,Shichao,Ginesta,Senior Staff
13156,Akeel,Millington,Engineer
13165,Lucian,Benner,Engineer
13168,Munir,Stentiford,Engineer
13170,Cheong,Bernardeschi,Senior Staff
13171,Anoosh,Birnbaum,Engineer
13173,Arve,Horswill,Senior Staff
13179,Moty,Janocha,Staff
13182,Kokou,Rodite,Engineer
13186,Kyoichi,Barbanera,Senior Staff
13192,Rosita,Flowers,Technique Leader
13202,Aram,Scharstein,Senior Staff
13210,Jianhua,Klassen,Senior Staff
13213,Hein,Billawala,Senior Staff
13232,Mitchel,Fujisaki,Technique Leader
13233,Alselm,Chvatal,Engineer
13238,Ebru,Foote,Senior Staff
13240,King,Pileggi,Engineer
13250,Zeydy,Schusler,Assistant Engineer
13272,Arun,Jiang,Senior Staff
13276,Yechiam,Seuren,Senior Staff
13288,Muneo,Broomell,Senior Staff
13291,Georg,Stamatiou,Engineer
13302,Mack,Alencar,Engineer
13315,Sakthirel,Stroustrup,Engineer
13332,Nidapan,Pearson,Assistant Engineer
13333,Yoshinari,Hennebert,Assistant Engineer
13341,Bodh,Doering,Senior Staff
13343,Heon,Usery,Senior Staff
13368,Kiyokazu,Klassen,Staff
13371,Nakhoon,Riexinger,Senior Engineer
13373,Juichirou,Naumovich,Senior Staff
13385,Claudi,Buchter,Senior Staff
13386,Khosrow,Sgarro,Technique Leader
13389,Divine,Cmelik,Senior Staff
13392,Fumitake,Beidas,Senior Staff
13396,Chuanyi,Aumann,Senior Staff
13402,Augustine,Dulli,Engineer
13405,Randy,Baba,Senior Staff
13407,Gio,Chenoweth,Engineer
13408,Sreekrishna,Lagarias,Engineer
13415,Nathalie,Speer,Technique Leader
13422,Vishwani,Gerlach,Engineer
13442,Giordano,Miake,Senior Staff
13443,Mayuko,Puppo,Engineer
13445,Renee,Dehkordi,Engineer
13451,Gretta,Weiland,Senior Staff
13457,Shooichi,Parfitt,Engineer
13458,Feipei,Nivat,Engineer
13463,Theron,Berstel,Engineer
13465,Sasan,Rehfuss,Engineer
13493,Uinam,Jullig,Engineer
13504,Parto,Mandell,Assistant Engineer
13524,Chaoyi,Porotnikoff,Senior Staff
13535,Arunas,Schlenzig,Assistant Engineer
13546,Aimee,Brookner,Engineer
13549,Matk,Koprowski,Technique Leader
13552,Ingmar,Capobianchi,Senior Staff
13576,Jungsoon,Engberts,Senior Staff
13605,Dmitry,Encarnacion,Senior Staff
13621,Fei,Haddadi,Assistant Engineer
13624,Zhigen,Yurek,Senior Staff
13629,Dzung,Trelles,Engineer
13648,Zejun,Lamba,Technique Leader
13653,Kristen,Iivonen,Senior Staff
13670,Moti,Takanami,Senior Engineer
13680,Denny,Speer,Staff
13685,Weicheng,Hockney,Engineer
13697,Shuichi,Weedon,Technique Leader
13704,Vishu,Kumaresan,Engineer
13721,Sugwoo,Delgrossi,Senior Staff
13727,Vitali,Merey,Staff
13738,Bangqing,Mitchem,Engineer
13766,Tremaine,Heemskerk,Senior Staff
13769,Yakichi,Trogemann,Senior Staff
13775,Arve,Maierhofer,Senior Staff
13786,Takushi,Berendt,Senior Staff
13787,Xiaobin,Sinicrope,Engineer
13792,Valery,Sury,Senior Staff
13796,Paloma,Thorelli,Engineer
13809,Kiyotoshi,Basagni,Senior Staff
13815,Guadalupe,Plotkin,Engineer
13825,Arlette,Pell,Technique Leader
13841,Christophe,Spinelli,Technique Leader
13842,Juichirou,Cichocki,Senior Staff
13846,Guiseppe,Welham,Senior Staff
13853,Mingsen,Roohalamini,Senior Staff
13859,Anoosh,Fujisawa,Engineer
13884,Kensei,Swift,Engineer
13894,Ult,Schonegge,Assistant Engineer
13904,Youngkon,Cairo,Senior Engineer
13934,Shiv,Bratsberg,Senior Engineer
13942,Elzbieta,Esteva,Technique Leader
13951,Mooi,Genther,Senior Staff
13960,Nechama,Hettesheimer,Senior Staff
13962,Maris,Ghelli,Senior Engineer
13966,Boguslaw,Cooman,Senior Staff
13969,Jianwen,Chandrasekhar,Technique Leader
13990,Deborah,Schapiro,Assistant Engineer
13992,Ulises,Kenevan,Senior Staff
13999,Florian,Crouzet,Senior Staff
14005,Vojin,Stellhorn,Technique Leader
14015,Manibrata,Picaronny,Senior Engineer
14034,Aloys,Seghrouchni,Senior Staff
14041,Shan,DeMori,Senior Staff
14067,Godehard,Trachtenberg,Engineer
14088,Mori,Leslie,Senior Staff
14107,Xiahua,Rindone,Senior Staff
14111,Leszek,Cummings,Senior Staff
14118,Kasturi,Anido,Senior Staff
14167,Adas,Hertweck,Engineer
14191,Jiann,Luby,Engineer
14209,Masanao,Kusakabe,Senior Staff
14220,Tomofumi,Pargas,Senior Engineer
14232,Masali,Bojadziev,Engineer
14236,Xuedong,Angiulli,Senior Staff
14237,Abdulla,Gerlach,Engineer
14242,Sudhanshu,Benaini,Senior Staff
14257,Kwok,Massonet,Staff
14290,Miyeon,Olivero,Senior Engineer
14292,Susanna,Vigier,Senior Staff
14298,Chriss,Granlund,Engineer
14310,Marlo,Leuchs,Senior Staff
14320,Sreenivas,Schaar,Engineer
14322,Shem,Kakkad,Engineer
14323,Golgen,Leslie,Staff
14340,Vitaly,Wixon,Engineer
14344,Otilia,Buescher,Technique Leader
14354,Mong,Bojadziev,Senior Staff
14360,Janche,Erbe,Senior Staff
14372,Saniya,Srimani,Engineer
14384,Tomofumi,Holburn,Technique Leader
14422,Toshimo,Gadepally,Engineer
14434,Elvis,Maginnis,Technique Leader
14439,Raimond,Woycyznski,Engineer
14460,Yagil,Lueh,Engineer
14478,Munehiro,Boissier,Senior Staff
14481,Moti,Lammel,Engineer
14483,Supot,Marrevee,Senior Engineer
14486,Indrajit,Birdsall,Engineer
14498,Xiong,Selenyi,Senior Staff
14501,Taizo,Kroft,Technique Leader
14509,Danil,Aloia,Senior Staff
14513,Samphel,Barreiro,Senior Staff
14515,Kazuhisa,Versino,Engineer
14516,Kristian,Underwood,Senior Staff
14518,Patricia,Peir,Engineer
14522,Chuanyi,Ranta,Senior Staff
14537,Babette,Engelmann,Engineer
14552,Ibibia,Snyers,Engineer
14556,Fatemeh,Zultner,Assistant Engineer
14560,Elrique,Driscoll,Engineer
14581,Gao,Condotta,Engineer
14582,Kiyokazu,Morrin,Senior Engineer
14600,Jayson,Cairo,Senior Staff
14603,Lech,Marquardt,Engineer
14607,Suzette,Selvestrel,Staff
14620,Jianhua,Erev,Engineer
14621,Souichi,Wixon,Senior Staff
14632,Gudjon,McClurg,Assistant Engineer
14639,Arvind,Hempstead,Senior Staff
14640,Toshimori,Kornatzky,Engineer
14642,Florian,Kuhnemann,Engineer
14645,Laurentiu,Glinert,Engineer
14648,IEEE,Lorys,Senior Staff
14659,Sashi,Adachi,Engineer
14675,Teunis,Angel,Senior Staff
14677,Herbert,Sifakis,Senior Engineer
14683,Alois,Basart,Engineer
14690,Yechezkel,Bellone,Engineer
14693,Brewster,Stranks,Senior Staff
14710,Mahmut,Hainaut,Senior Staff
14723,Constantino,Assaf,Senior Staff
14724,Aron,Lemarechal,Senior Staff
14780,Marlo,Bruckman,Senior Engineer
14785,Zhonghua,Kaiser,Senior Engineer
14793,Stein,Uchoa,Engineer
14814,Odysseas,Nishimukai,Senior Staff
14817,Gaurav,Masaki,Engineer
14821,Oguz,Kilgore,Engineer
14839,Changho,Cronin,Engineer
14853,Taiji,Nergos,Engineer
14877,Arto,Meriste,Engineer
14879,Anyuan,Sigstam,Engineer
14888,Temple,Barriga,Senior Staff
14899,Alejandro,Casley,Senior Staff
14906,Adil,Parveen,Senior Staff
14908,Kerhong,Flanders,Engineer
14909,Mohan,Kamble,Engineer
14911,Xiaobin,Chelton,Engineer
14914,Gretta,Benzaken,Engineer
14915,Huican,Picco,Engineer
14923,Shuzo,Gyorkos,Technique Leader
14928,Satoru,Mukaidono,Senior Staff
14941,Nathan,Lichtner,Engineer
14942,Heon,Benveniste,Engineer
14949,Insup,Reinhart,Engineer
14954,Fox,Magliocco,Senior Engineer
14971,Fan,Simmen,Senior Staff
14983,Hyuckchul,Pouyioutas,Senior Staff
14993,Sanjay,Koblitz,Engineer
15005,Kiam,Sadowsky,Engineer
15016,Woody,Gulik,Senior Staff
15018,Ramalingam,Prenel,Senior Staff
15019,Qingxiang,Shokrollahi,Engineer
15029,Giordano,Koshino,Senior Staff
15030,Rasikan,Nourani,Senior Staff
15036,Ziva,Delgrande,Senior Engineer
15049,Khun,Waymire,Senior Staff
15052,Flemming,Kranzdorf,Senior Engineer
15055,Shrikanth,Sherertz,Senior Staff
15066,Tomokazu,Oaver,Engineer
15069,Manton,Siksek,Technique Leader
15071,Ayonca,Couchot,Senior Staff
15075,Radoslaw,Rijsenbrij,Engineer
15077,Toshiki,Taubenfeld,Senior Engineer
15082,Guadalupe,Zirintsis,Technique Leader
15087,Chirstian,Ushiama,Engineer
15089,Giri,Coney,Engineer
15092,Remmert,Bahi,Senior Staff
15102,Luigi,Axelband,Engineer
15105,Sudhanshu,Itzigehl,Senior Staff
15114,Pantung,Honglei,Engineer
15134,Arun,Luiz,Senior Staff
15145,Haldon,Servieres,Engineer
15151,Urs,Pouyioutas,Senior Staff
15176,Charlene,Sankaranarayanan,Senior Staff
15193,Neelam,Schach,Senior Engineer
15196,Souichi,Duclos,Engineer
15202,Pranay,Irland,Assistant Engineer
15208,Sudharsan,Shokrollahi,Senior Staff
15218,Shuky,Conry,Senior Staff
15228,Mona,Salvesen,Senior Staff
15230,Keiichiro,Suessmith,Engineer
15234,Jouko,Zhiwei,Senior Engineer
15237,Reinhard,Sadowsky,Engineer
15243,Mountaz,Famili,Senior Staff
15248,Edwin,Baar,Senior Staff
15253,Ayonca,Pardalos,Engineer
15269,Eric,Reghbati,Engineer
15271,Shiv,Bernardeschi,Senior Staff
15292,Miyeon,Lammel,Senior Staff
15324,Ziya,Lunn,Assistant Engineer
15329,Fan,Openshaw,Engineer
15330,Jaroslava,Chinal,Senior Staff
15337,Masaru,Radivojevic,Engineer
15343,Chaosheng,Luce,Engineer
15354,Chikara,Nyrup,Staff
15365,Mikhail,Schiettecatte,Engineer
15369,Premal,Penttonen,Staff
15370,Chuanyi,Nilsson,Senior Engineer
15372,Nahum,Broder,Senior Staff
15375,Shuho,Manders,Senior Staff
15377,Shugo,Aumann,Engineer
15382,Alassane,Siegrist,Senior Staff
15392,Pradeep,Markovitch,Assistant Engineer
15408,Maik,Penttonen,Staff
15410,Wilmer,Kushner,Senior Staff
15412,Huai,Thiria,Engineer
15438,Constantijn,Munoz,Senior Staff
15441,Arvind,Weisert,Senior Staff
15452,Kazuhira,Weedman,Engineer
15454,Hongzue,Cesareni,Senior Staff
15470,Weiwu,Huhdanpaa,Engineer
15474,Gilbert,Plumb,Senior Staff
15479,Zhenbing,Soicher,Engineer
15480,Kwok,Trogemann,Engineer
15504,Kasturi,Alpin,Engineer
15505,Collette,Mikschl,Engineer
15510,Inderjeet,Sethi,Engineer
15511,George,Kowalchuk,Senior Staff
15518,Uno,Valtorta,Engineer
15525,Masadi,Cherinka,Engineer
15534,Guozhong,Grabner,Senior Staff
15543,Mingdong,Staelin,Senior Engineer
15548,Sanjai,Caine,Engineer
15563,Constantino,Zykh,Senior Staff
15565,True,Muchinsky,Senior Staff
15566,Baoqiu,Azuma,Senior Staff
15600,Mack,Perna,Engineer
15601,Carrsten,Anily,Senior Staff
15651,Huan,Iwayama,Assistant Engineer
15656,Mohammad,Schaaf,Senior Staff
15682,Hiroyasu,Przulj,Engineer
15687,Dekang,Ambroszkiewicz,Senior Staff
15703,Chenye,Hanratty,Engineer
15708,Reuven,Kushnir,Senior Staff
15714,Troy,Bala,Assistant Engineer
15715,Insup,Ibel,Staff
15726,Zhilian,Parascandalo,Senior Staff
15739,Poorav,Bahr,Engineer
15740,Stepehn,Pocchiola,Senior Staff
15750,Arumugam,Bresenham,Engineer
15765,Tonny,Taubenfeld,Engineer
15767,Baocai,Broomell,Assistant Engineer
15769,Pranay,Oskamp,Staff
15788,Taegyun,Deyuan,Engineer
15799,Manton,Gelosh,Senior Staff
15809,Mingsen,Antonisse,Senior Staff
15819,Magdalena,Rajcani,Senior Staff
15821,Aleksander,Antonakopoulos,Assistant Engineer
15846,Bowen,Litecky,Technique Leader
15861,Gio,Anido,Senior Staff
15866,Angel,Seiwald,Engineer
15869,Guoxiang,Bala,Engineer
15876,Munehiro,Vakili,Assistant Engineer
15877,Yannik,Kroll,Engineer
15880,Miquel,Dechter,Technique Leader
15889,Sasan,Azumi,Engineer
15892,Lunjin,Pettis,Engineer
15901,Marsja,Fargier,Engineer
15902,Kazuhide,Stille,Senior Staff
15905,DeForest,Petersohn,Engineer
15911,Shaibal,Viele,Engineer
15934,Kensyu,Shinomoto,Assistant Engineer
15938,Garnik,Covnot,Senior Staff
15942,Murthy,Rosca,Engineer
15943,Yakkov,Demke,Engineer
15945,Hauke,Larfeldt,Engineer
15948,Karoline,Versino,Engineer
15955,Yuguang,Dratva,Engineer
15971,Arumugam,Aloia,Senior Engineer
15977,King,Ballarin,Senior Staff
15978,Kaijung,Wielonsky,Engineer
15993,Yoshimitsu,Peir,Senior Engineer
16000,Marek,Demos,Engineer
16018,Boutros,Papadias,Engineer
16019,Chaoyi,Heystek,Engineer
16025,Doowon,Luce,Engineer
16028,JiYoung,Takkinen,Engineer
16033,Wayne,Spelt,Senior Staff
16052,Maria,Rodham,Engineer
16066,Marsha,Penn,Senior Staff
16068,Leandro,Zongker,Senior Staff
16076,Marko,Ebeling,Engineer
16077,Kannan,Heemskerk,Assistant Engineer
16086,Mohammad,Denos,Assistant Engineer
16094,Berto,Rosar,Engineer
16099,Mohan,Ferretti,Senior Staff
16126,Tse,Crabtree,Staff
16130,Kerryn,Belinskaya,Assistant Engineer
16134,Annemarie,Chaudhuri,Engineer
16138,Leucio,Krzyzanowski,Senior Staff
16154,Monique,Docker,Technique Leader
16185,Marin,Winter,Technique Leader
16192,Leandro,Sigstam,Senior Engineer
16201,Krassimir,Olano,Technique Leader
16227,Hitomi,Vural,Engineer
16229,Ronnie,Lanzelotte,Senior Staff
16230,Ung,Babu,Senior Staff
16233,Sushant,Baba,Senior Staff
16234,Jacopo,Basart,Senior Staff
16246,Makato,Masaki,Engineer
16252,Carrsten,Mattern,Engineer
16266,Mikhail,Sethi,Senior Staff
16272,Shuho,Zeleznik,Assistant Engineer
16274,Sadun,Navazio,Senior Staff
16324,Billie,Bazzichi,Staff
16337,Hironoby,Schaad,Engineer
16341,Boutros,Fendler,Senior Staff
16355,Nikolaos,Luca,Senior Staff
16364,Yifei,Gini,Senior Staff
16365,Janalee,Mellouli,Senior Staff
16377,Duri,Stanger,Engineer
